elapsed time = 35.80 | seconds power is 2 | number of threads is 1 | block size is 4
elapsed time = 49.13 | seconds power is 12 | number of threads is 10 | block size is 4
elapsed time = 53.58 | seconds power is 13 | number of threads is 10 | block size is 4
elapsed time = 58.01 | seconds power is 14 | number of threads is 10 | block size is 4
elapsed time = 62.51 | seconds power is 15 | number of threads is 10 | block size is 4
elapsed time = 66.95 | seconds power is 16 | number of threads is 10 | block size is 4
elapsed time = 70.54 | seconds power is 2 | number of threads is 10 | block size is 8
elapsed time = 74.13 | seconds power is 3 | number of threads is 10 | block size is 8
elapsed time = 77.92 | seconds power is 4 | number of threads is 10 | block size is 8
elapsed time = 81.50 | seconds power is 5 | number of threads is 10 | block size is 8
elapsed time = 85.10 | seconds power is 6 | number of threads is 10 | block size is 8
elapsed time = 88.88 | seconds power is 7 | number of threads is 10 | block size is 8
elapsed time = 92.64 | seconds power is 8 | number of threads is 10 | block size is 8
elapsed time = 96.22 | seconds power is 9 | number of threads is 10 | block size is 8
elapsed time = 100.05 | seconds power is 10 | number of threads is 10 | block size is 8
elapsed time = 103.76 | seconds power is 11 | number of threads is 10 | block size is 8
elapsed time = 107.38 | seconds power is 12 | number of threads is 10 | block size is 8
elapsed time = 110.90 | seconds power is 13 | number of threads is 10 | block size is 8
elapsed time = 114.60 | seconds power is 14 | number of threads is 10 | block size is 8
elapsed time = 118.19 | seconds power is 15 | number of threads is 10 | block size is 8
elapsed time = 122.01 | seconds power is 16 | number of threads is 10 | block size is 8
elapsed time = 125.40 | seconds power is 2 | number of threads is 10 | block size is 16
elapsed time = 128.79 | seconds power is 3 | number of threads is 10 | block size is 16
elapsed time = 132.17 | seconds power is 4 | number of threads is 10 | block size is 16
elapsed time = 135.77 | seconds power is 5 | number of threads is 10 | block size is 16
elapsed time = 139.12 | seconds power is 6 | number of threads is 10 | block size is 16
elapsed time = 142.66 | seconds power is 7 | number of threads is 10 | block size is 16
elapsed time = 146.05 | seconds power is 8 | number of threads is 10 | block size is 16
elapsed time = 149.57 | seconds power is 9 | number of threads is 10 | block size is 16
elapsed time = 152.99 | seconds power is 10 | number of threads is 10 | block size is 16
elapsed time = 156.38 | seconds power is 11 | number of threads is 10 | block size is 16
elapsed time = 159.76 | seconds power is 12 | number of threads is 10 | block size is 16
elapsed time = 163.15 | seconds power is 13 | number of threads is 10 | block size is 16
elapsed time = 166.70 | seconds power is 14 | number of threads is 10 | block size is 16
elapsed time = 170.09 | seconds power is 15 | number of threads is 10 | block size is 16
elapsed time = 173.50 | seconds power is 16 | number of threads is 10 | block size is 16
elapsed time = 176.98 | seconds power is 2 | number of threads is 10 | block size is 32
elapsed time = 180.45 | seconds power is 3 | number of threads is 10 | block size is 32
elapsed time = 183.92 | seconds power is 4 | number of threads is 10 | block size is 32
elapsed time = 187.39 | seconds power is 5 | number of threads is 10 | block size is 32
elapsed time = 190.86 | seconds power is 6 | number of threads is 10 | block size is 32
elapsed time = 194.34 | seconds power is 7 | number of threads is 10 | block size is 32
elapsed time = 197.81 | seconds power is 8 | number of threads is 10 | block size is 32
elapsed time = 201.26 | seconds power is 9 | number of threads is 10 | block size is 32
elapsed time = 204.91 | seconds power is 10 | number of threads is 10 | block size is 32
elapsed time = 208.32 | seconds power is 11 | number of threads is 10 | block size is 32
elapsed time = 211.83 | seconds power is 12 | number of threads is 10 | block size is 32
elapsed time = 215.33 | seconds power is 13 | number of threads is 10 | block size is 32
elapsed time = 218.68 | seconds power is 14 | number of threads is 10 | block size is 32
elapsed time = 222.15 | seconds power is 15 | number of threads is 10 | block size is 32
elapsed time = 225.74 | seconds power is 16 | number of threads is 10 | block size is 32
elapsed time = 229.49 | seconds power is 2 | number of threads is 10 | block size is 64
elapsed time = 232.84 | seconds power is 3 | number of threads is 10 | block size is 64
elapsed time = 236.64 | seconds power is 4 | number of threads is 10 | block size is 64
elapsed time = 240.32 | seconds power is 5 | number of threads is 10 | block size is 64
elapsed time = 243.78 | seconds power is 6 | number of threads is 10 | block size is 64
elapsed time = 247.11 | seconds power is 7 | number of threads is 10 | block size is 64
elapsed time = 250.45 | seconds power is 8 | number of threads is 10 | block size is 64
elapsed time = 253.89 | seconds power is 9 | number of threads is 10 | block size is 64
elapsed time = 257.56 | seconds power is 10 | number of threads is 10 | block size is 64
elapsed time = 261.08 | seconds power is 11 | number of threads is 10 | block size is 64
elapsed time = 264.41 | seconds power is 12 | number of threads is 10 | block size is 64
elapsed time = 267.74 | seconds power is 13 | number of threads is 10 | block size is 64
elapsed time = 271.02 | seconds power is 14 | number of threads is 10 | block size is 64
elapsed time = 274.59 | seconds power is 15 | number of threads is 10 | block size is 64
elapsed time = 277.85 | seconds power is 16 | number of threads is 10 | block size is 64
2048 10 thread done
elapsed time = 3.89 | seconds power is 2 | number of threads is 12 | block size is 4
elapsed time = 7.80 | seconds power is 3 | number of threads is 12 | block size is 4
elapsed time = 11.73 | seconds power is 4 | number of threads is 12 | block size is 4
elapsed time = 15.67 | seconds power is 5 | number of threads is 12 | block size is 4
elapsed time = 19.60 | seconds power is 6 | number of threads is 12 | block size is 4
elapsed time = 23.55 | seconds power is 7 | number of threads is 12 | block size is 4
elapsed time = 27.51 | seconds power is 8 | number of threads is 12 | block size is 4
elapsed time = 31.43 | seconds power is 9 | number of threads is 12 | block size is 4
elapsed time = 35.36 | seconds power is 10 | number of threads is 12 | block size is 4
elapsed time = 39.33 | seconds power is 11 | number of threads is 12 | block size is 4
elapsed time = 43.23 | seconds power is 12 | number of threads is 12 | block size is 4
elapsed time = 47.16 | seconds power is 13 | number of threads is 12 | block size is 4
elapsed time = 51.11 | seconds power is 14 | number of threads is 12 | block size is 4
elapsed time = 55.06 | seconds power is 15 | number of threads is 12 | block size is 4
elapsed time = 58.98 | seconds power is 16 | number of threads is 12 | block size is 4
elapsed time = 62.14 | seconds power is 2 | number of threads is 12 | block size is 8
elapsed time = 65.30 | seconds power is 3 | number of threads is 12 | block size is 8
elapsed time = 68.48 | seconds power is 4 | number of threads is 12 | block size is 8
elapsed time = 71.64 | seconds power is 5 | number of threads is 12 | block size is 8
elapsed time = 74.81 | seconds power is 6 | number of threads is 12 | block size is 8
elapsed time = 78.01 | seconds power is 7 | number of threads is 12 | block size is 8
elapsed time = 81.21 | seconds power is 8 | number of threads is 12 | block size is 8
elapsed time = 84.45 | seconds power is 9 | number of threads is 12 | block size is 8
elapsed time = 87.71 | seconds power is 10 | number of threads is 12 | block size is 8
elapsed time = 90.89 | seconds power is 11 | number of threads is 12 | block size is 8
elapsed time = 94.09 | seconds power is 12 | number of threads is 12 | block size is 8
elapsed time = 97.19 | seconds power is 13 | number of threads is 12 | block size is 8
elapsed time = 100.41 | seconds power is 14 | number of threads is 12 | block size is 8
elapsed time = 103.62 | seconds power is 15 | number of threads is 12 | block size is 8
elapsed time = 106.80 | seconds power is 16 | number of threads is 12 | block size is 8
elapsed time = 109.83 | seconds power is 2 | number of threads is 12 | block size is 16
elapsed time = 112.87 | seconds power is 3 | number of threads is 12 | block size is 16
elapsed time = 115.89 | seconds power is 4 | number of threads is 12 | block size is 16
elapsed time = 118.93 | seconds power is 5 | number of threads is 12 | block size is 16
elapsed time = 121.96 | seconds power is 6 | number of threads is 12 | block size is 16
elapsed time = 124.97 | seconds power is 7 | number of threads is 12 | block size is 16
elapsed time = 128.01 | seconds power is 8 | number of threads is 12 | block size is 16
elapsed time = 131.05 | seconds power is 9 | number of threads is 12 | block size is 16
elapsed time = 134.08 | seconds power is 10 | number of threads is 12 | block size is 16
elapsed time = 137.10 | seconds power is 11 | number of threads is 12 | block size is 16
elapsed time = 140.13 | seconds power is 12 | number of threads is 12 | block size is 16
elapsed time = 143.17 | seconds power is 13 | number of threads is 12 | block size is 16
elapsed time = 146.22 | seconds power is 14 | number of threads is 12 | block size is 16
elapsed time = 149.31 | seconds power is 15 | number of threads is 12 | block size is 16
elapsed time = 152.40 | seconds power is 16 | number of threads is 12 | block size is 16
elapsed time = 155.60 | seconds power is 2 | number of threads is 12 | block size is 32
elapsed time = 158.69 | seconds power is 3 | number of threads is 12 | block size is 32
elapsed time = 161.77 | seconds power is 4 | number of threads is 12 | block size is 32
elapsed time = 164.90 | seconds power is 5 | number of threads is 12 | block size is 32
elapsed time = 167.98 | seconds power is 6 | number of threads is 12 | block size is 32
elapsed time = 171.10 | seconds power is 7 | number of threads is 12 | block size is 32
elapsed time = 174.23 | seconds power is 8 | number of threads is 12 | block size is 32
elapsed time = 177.34 | seconds power is 9 | number of threads is 12 | block size is 32
elapsed time = 180.41 | seconds power is 10 | number of threads is 12 | block size is 32
elapsed time = 183.60 | seconds power is 11 | number of threads is 12 | block size is 32
elapsed time = 186.70 | seconds power is 12 | number of threads is 12 | block size is 32
elapsed time = 189.78 | seconds power is 13 | number of threads is 12 | block size is 32
elapsed time = 192.89 | seconds power is 14 | number of threads is 12 | block size is 32
elapsed time = 196.01 | seconds power is 15 | number of threads is 12 | block size is 32
elapsed time = 199.13 | seconds power is 16 | number of threads is 12 | block size is 32
elapsed time = 202.29 | seconds power is 2 | number of threads is 12 | block size is 64
elapsed time = 205.47 | seconds power is 3 | number of threads is 12 | block size is 64
elapsed time = 208.60 | seconds power is 4 | number of threads is 12 | block size is 64
elapsed time = 211.73 | seconds power is 5 | number of threads is 12 | block size is 64
elapsed time = 214.83 | seconds power is 6 | number of threads is 12 | block size is 64
elapsed time = 217.94 | seconds power is 7 | number of threads is 12 | block size is 64
elapsed time = 221.03 | seconds power is 8 | number of threads is 12 | block size is 64
elapsed time = 224.15 | seconds power is 9 | number of threads is 12 | block size is 64
elapsed time = 227.24 | seconds power is 10 | number of threads is 12 | block size is 64
elapsed time = 230.37 | seconds power is 11 | number of threads is 12 | block size is 64
elapsed time = 233.53 | seconds power is 12 | number of threads is 12 | block size is 64
elapsed time = 236.66 | seconds power is 13 | number of threads is 12 | block size is 64
elapsed time = 239.79 | seconds power is 14 | number of threads is 12 | block size is 64
elapsed time = 242.89 | seconds power is 15 | number of threads is 12 | block size is 64
elapsed time = 246.00 | seconds power is 16 | number of threads is 12 | block size is 64
2048 12 thread done
elapsed time = 4.08 | seconds power is 2 | number of threads is 14 | block size is 4
elapsed time = 8.13 | seconds power is 3 | number of threads is 14 | block size is 4
elapsed time = 12.18 | seconds power is 4 | number of threads is 14 | block size is 4
elapsed time = 16.29 | seconds power is 5 | number of threads is 14 | block size is 4
elapsed time = 20.31 | seconds power is 6 | number of threads is 14 | block size is 4
elapsed time = 24.40 | seconds power is 7 | number of threads is 14 | block size is 4
elapsed time = 28.43 | seconds power is 8 | number of threads is 14 | block size is 4
elapsed time = 32.43 | seconds power is 9 | number of threads is 14 | block size is 4
elapsed time = 36.46 | seconds power is 10 | number of threads is 14 | block size is 4
elapsed time = 40.50 | seconds power is 11 | number of threads is 14 | block size is 4
elapsed time = 44.62 | seconds power is 12 | number of threads is 14 | block size is 4
elapsed time = 48.67 | seconds power is 13 | number of threads is 14 | block size is 4
elapsed time = 52.83 | seconds power is 14 | number of threads is 14 | block size is 4
elapsed time = 56.91 | seconds power is 15 | number of threads is 14 | block size is 4
elapsed time = 60.98 | seconds power is 16 | number of threads is 14 | block size is 4
elapsed time = 64.17 | seconds power is 2 | number of threads is 14 | block size is 8
elapsed time = 67.32 | seconds power is 3 | number of threads is 14 | block size is 8
elapsed time = 70.49 | seconds power is 4 | number of threads is 14 | block size is 8
elapsed time = 73.74 | seconds power is 5 | number of threads is 14 | block size is 8
elapsed time = 76.98 | seconds power is 6 | number of threads is 14 | block size is 8
elapsed time = 80.17 | seconds power is 7 | number of threads is 14 | block size is 8
elapsed time = 83.31 | seconds power is 8 | number of threads is 14 | block size is 8
elapsed time = 86.64 | seconds power is 9 | number of threads is 14 | block size is 8
elapsed time = 89.78 | seconds power is 10 | number of threads is 14 | block size is 8
elapsed time = 93.00 | seconds power is 11 | number of threads is 14 | block size is 8
elapsed time = 96.12 | seconds power is 12 | number of threads is 14 | block size is 8
elapsed time = 99.34 | seconds power is 13 | number of threads is 14 | block size is 8
elapsed time = 102.52 | seconds power is 14 | number of threads is 14 | block size is 8
elapsed time = 105.74 | seconds power is 15 | number of threads is 14 | block size is 8
elapsed time = 108.86 | seconds power is 16 | number of threads is 14 | block size is 8
elapsed time = 112.10 | seconds power is 2 | number of threads is 14 | block size is 16
elapsed time = 115.16 | seconds power is 3 | number of threads is 14 | block size is 16
elapsed time = 118.39 | seconds power is 4 | number of threads is 14 | block size is 16
elapsed time = 121.47 | seconds power is 5 | number of threads is 14 | block size is 16
elapsed time = 124.60 | seconds power is 6 | number of threads is 14 | block size is 16
elapsed time = 127.68 | seconds power is 7 | number of threads is 14 | block size is 16
elapsed time = 130.76 | seconds power is 8 | number of threads is 14 | block size is 16
elapsed time = 133.83 | seconds power is 9 | number of threads is 14 | block size is 16
elapsed time = 136.95 | seconds power is 10 | number of threads is 14 | block size is 16
elapsed time = 140.20 | seconds power is 11 | number of threads is 14 | block size is 16
elapsed time = 143.30 | seconds power is 12 | number of threads is 14 | block size is 16
elapsed time = 146.36 | seconds power is 13 | number of threads is 14 | block size is 16
elapsed time = 149.58 | seconds power is 14 | number of threads is 14 | block size is 16
elapsed time = 152.65 | seconds power is 15 | number of threads is 14 | block size is 16
elapsed time = 155.86 | seconds power is 16 | number of threads is 14 | block size is 16
elapsed time = 158.94 | seconds power is 2 | number of threads is 14 | block size is 32
elapsed time = 162.08 | seconds power is 3 | number of threads is 14 | block size is 32
elapsed time = 165.21 | seconds power is 4 | number of threads is 14 | block size is 32
elapsed time = 168.31 | seconds power is 5 | number of threads is 14 | block size is 32
elapsed time = 171.40 | seconds power is 6 | number of threads is 14 | block size is 32
elapsed time = 174.59 | seconds power is 7 | number of threads is 14 | block size is 32
elapsed time = 177.84 | seconds power is 8 | number of threads is 14 | block size is 32
elapsed time = 181.01 | seconds power is 9 | number of threads is 14 | block size is 32
elapsed time = 184.01 | seconds power is 10 | number of threads is 14 | block size is 32
elapsed time = 187.17 | seconds power is 11 | number of threads is 14 | block size is 32
elapsed time = 190.31 | seconds power is 12 | number of threads is 14 | block size is 32
elapsed time = 193.52 | seconds power is 13 | number of threads is 14 | block size is 32
elapsed time = 196.66 | seconds power is 14 | number of threads is 14 | block size is 32
elapsed time = 200.03 | seconds power is 15 | number of threads is 14 | block size is 32
elapsed time = 203.13 | seconds power is 16 | number of threads is 14 | block size is 32
elapsed time = 206.49 | seconds power is 2 | number of threads is 14 | block size is 64
elapsed time = 209.80 | seconds power is 3 | number of threads is 14 | block size is 64
elapsed time = 213.27 | seconds power is 4 | number of threads is 14 | block size is 64
elapsed time = 216.57 | seconds power is 5 | number of threads is 14 | block size is 64
elapsed time = 219.88 | seconds power is 6 | number of threads is 14 | block size is 64
elapsed time = 223.13 | seconds power is 7 | number of threads is 14 | block size is 64
elapsed time = 226.50 | seconds power is 8 | number of threads is 14 | block size is 64
elapsed time = 229.83 | seconds power is 9 | number of threads is 14 | block size is 64
elapsed time = 233.28 | seconds power is 10 | number of threads is 14 | block size is 64
elapsed time = 236.63 | seconds power is 11 | number of threads is 14 | block size is 64
elapsed time = 239.95 | seconds power is 12 | number of threads is 14 | block size is 64
elapsed time = 243.27 | seconds power is 13 | number of threads is 14 | block size is 64
elapsed time = 246.64 | seconds power is 14 | number of threads is 14 | block size is 64
elapsed time = 250.01 | seconds power is 15 | number of threads is 14 | block size is 64
elapsed time = 253.32 | seconds power is 16 | number of threads is 14 | block size is 64
2048 14 thread done
elapsed time = 3.70 | seconds power is 2 | number of threads is 16 | block size is 4
elapsed time = 7.43 | seconds power is 3 | number of threads is 16 | block size is 4
elapsed time = 11.20 | seconds power is 4 | number of threads is 16 | block size is 4
elapsed time = 14.98 | seconds power is 5 | number of threads is 16 | block size is 4
elapsed time = 18.74 | seconds power is 6 | number of threads is 16 | block size is 4
elapsed time = 22.54 | seconds power is 7 | number of threads is 16 | block size is 4
elapsed time = 26.28 | seconds power is 8 | number of threads is 16 | block size is 4
elapsed time = 30.04 | seconds power is 9 | number of threads is 16 | block size is 4
elapsed time = 33.80 | seconds power is 10 | number of threads is 16 | block size is 4
elapsed time = 37.54 | seconds power is 11 | number of threads is 16 | block size is 4
elapsed time = 41.31 | seconds power is 12 | number of threads is 16 | block size is 4
elapsed time = 45.06 | seconds power is 13 | number of threads is 16 | block size is 4
elapsed time = 48.80 | seconds power is 14 | number of threads is 16 | block size is 4
elapsed time = 52.61 | seconds power is 15 | number of threads is 16 | block size is 4
elapsed time = 56.36 | seconds power is 16 | number of threads is 16 | block size is 4
elapsed time = 59.36 | seconds power is 2 | number of threads is 16 | block size is 8
elapsed time = 62.39 | seconds power is 3 | number of threads is 16 | block size is 8
elapsed time = 65.45 | seconds power is 4 | number of threads is 16 | block size is 8
elapsed time = 68.48 | seconds power is 5 | number of threads is 16 | block size is 8
elapsed time = 71.52 | seconds power is 6 | number of threads is 16 | block size is 8
elapsed time = 74.57 | seconds power is 7 | number of threads is 16 | block size is 8
elapsed time = 77.61 | seconds power is 8 | number of threads is 16 | block size is 8
elapsed time = 80.65 | seconds power is 9 | number of threads is 16 | block size is 8
elapsed time = 83.69 | seconds power is 10 | number of threads is 16 | block size is 8
elapsed time = 86.74 | seconds power is 11 | number of threads is 16 | block size is 8
elapsed time = 89.78 | seconds power is 12 | number of threads is 16 | block size is 8
elapsed time = 92.88 | seconds power is 13 | number of threads is 16 | block size is 8
elapsed time = 95.93 | seconds power is 14 | number of threads is 16 | block size is 8
elapsed time = 98.96 | seconds power is 15 | number of threads is 16 | block size is 8
elapsed time = 102.02 | seconds power is 16 | number of threads is 16 | block size is 8
elapsed time = 104.99 | seconds power is 2 | number of threads is 16 | block size is 16
elapsed time = 107.94 | seconds power is 3 | number of threads is 16 | block size is 16
elapsed time = 110.90 | seconds power is 4 | number of threads is 16 | block size is 16
elapsed time = 113.88 | seconds power is 5 | number of threads is 16 | block size is 16
elapsed time = 116.85 | seconds power is 6 | number of threads is 16 | block size is 16
elapsed time = 119.83 | seconds power is 7 | number of threads is 16 | block size is 16
elapsed time = 122.83 | seconds power is 8 | number of threads is 16 | block size is 16
elapsed time = 125.80 | seconds power is 9 | number of threads is 16 | block size is 16
elapsed time = 128.77 | seconds power is 10 | number of threads is 16 | block size is 16
elapsed time = 131.83 | seconds power is 11 | number of threads is 16 | block size is 16
elapsed time = 134.83 | seconds power is 12 | number of threads is 16 | block size is 16
elapsed time = 137.81 | seconds power is 13 | number of threads is 16 | block size is 16
elapsed time = 140.77 | seconds power is 14 | number of threads is 16 | block size is 16
elapsed time = 143.81 | seconds power is 15 | number of threads is 16 | block size is 16
elapsed time = 146.79 | seconds power is 16 | number of threads is 16 | block size is 16
elapsed time = 149.72 | seconds power is 2 | number of threads is 16 | block size is 32
elapsed time = 152.71 | seconds power is 3 | number of threads is 16 | block size is 32
elapsed time = 155.76 | seconds power is 4 | number of threads is 16 | block size is 32
elapsed time = 158.72 | seconds power is 5 | number of threads is 16 | block size is 32
elapsed time = 161.69 | seconds power is 6 | number of threads is 16 | block size is 32
elapsed time = 164.74 | seconds power is 7 | number of threads is 16 | block size is 32
elapsed time = 167.70 | seconds power is 8 | number of threads is 16 | block size is 32
elapsed time = 170.69 | seconds power is 9 | number of threads is 16 | block size is 32
elapsed time = 173.66 | seconds power is 10 | number of threads is 16 | block size is 32
elapsed time = 176.59 | seconds power is 11 | number of threads is 16 | block size is 32
elapsed time = 179.56 | seconds power is 12 | number of threads is 16 | block size is 32
elapsed time = 182.56 | seconds power is 13 | number of threads is 16 | block size is 32
elapsed time = 185.60 | seconds power is 14 | number of threads is 16 | block size is 32
elapsed time = 188.56 | seconds power is 15 | number of threads is 16 | block size is 32
elapsed time = 191.52 | seconds power is 16 | number of threads is 16 | block size is 32
elapsed time = 194.48 | seconds power is 2 | number of threads is 16 | block size is 64
elapsed time = 197.45 | seconds power is 3 | number of threads is 16 | block size is 64
elapsed time = 200.39 | seconds power is 4 | number of threads is 16 | block size is 64
elapsed time = 203.33 | seconds power is 5 | number of threads is 16 | block size is 64
elapsed time = 206.32 | seconds power is 6 | number of threads is 16 | block size is 64
elapsed time = 209.32 | seconds power is 7 | number of threads is 16 | block size is 64
elapsed time = 212.32 | seconds power is 8 | number of threads is 16 | block size is 64
elapsed time = 215.37 | seconds power is 9 | number of threads is 16 | block size is 64
elapsed time = 218.37 | seconds power is 10 | number of threads is 16 | block size is 64
elapsed time = 221.33 | seconds power is 11 | number of threads is 16 | block size is 64
elapsed time = 224.32 | seconds power is 12 | number of threads is 16 | block size is 64
elapsed time = 227.30 | seconds power is 13 | number of threads is 16 | block size is 64
elapsed time = 230.33 | seconds power is 14 | number of threads is 16 | block size is 64
elapsed time = 233.30 | seconds power is 15 | number of threads is 16 | block size is 64
elapsed time = 236.27 | seconds power is 16 | number of threads is 16 | block size is 64
2048 16 thread done
